created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-09 06:43:51+00:00,"RT @smitaprakash: ""China has been lying...they said it originated from a seafood market...Wuhan has level 4 super-lab that works with world…",utkarshsundaram,"Dehradun, India",Desh Bhakt #DecisionMaker,105,878,56367,False,"""China has been lying...they said it originated from a seafood market...Wuhan has level 4 super-lab that works with world's most deadly pathogens including caronavirus"" https://t.co/4sdMAmcwW1"
2020-02-09 06:43:51+00:00,"RT @therealbiostate: @StormIsUponUs Pompeo scares US governors into line w/#PNAC #neocon Cold War of ""China vs. USA."" Comes after China's t…",paula_myrick,Fredericksburg Indiana,"🇺🇸💯MAGA 2020  God first, Grandmother,  Conservative Christian, animal lover.⏱️☮️✝️",3912,4985,31125,False,"@StormIsUponUs Pompeo scares US governors into line w/#PNAC #neocon Cold War of ""China vs. USA."" Comes after China's tyrannical use of exit visas on Americans https://t.co/3g9GRfQS1S, answered by US ban on all Chinese visitors by plane https://t.co/EMvnutjGpF, &amp; Pompeo want to cut local links."
2020-02-09 06:43:55+00:00,"RT @_sabanaqvi: Dear @vivekagnihotri do read tbis...

Cannabis can get you stoned (#UrbanNazis not immune) but it does not kill #coronaviru…",avinash_rt01,"Mumbai, India (Tikamgarh MP)",S/W Professional | Member @ProfCong | believer of god,269,209,20073,False,"Dear @vivekagnihotri do read tbis...

Cannabis can get you stoned (#UrbanNazis not immune) but it does not kill #coronavirus? Vivek Agnihotri shares scientific misinformation via meme https://t.co/nwK8ixFm3B via @AltNews"
2020-02-09 06:44:04+00:00,Tencent denies showing real nCoV death toll - WION https://t.co/PLtL5JZDzT,757LiveIN,India,"Top News Stories of the day, Latest News Headlines, News Specials, @757live  https://t.co/Tcyg4E61RP",485,85,138585,False,No Value Mentioned
2020-02-09 06:44:14+00:00,"RT @BNODesk: Princess Cruises sent a press release more than an hour ago saying there are 6 ""additional"" cases of coronavirus on the ship n…",elegunt767,india,"Welcome to the clown world 🐔
There is no cure for stupid...",226,563,7881,False,"Princess Cruises sent a press release more than an hour ago saying there are 6 ""additional"" cases of coronavirus on the ship near Tokyo. No confirmation yet from the Japanese government."
2020-02-09 06:44:23+00:00,RT @XHNews: Lastest research discovers that novel #coronavirus can also transmit via aerosol...Expert suggests canceling all social activit…,g_e_,"Chennai, India",No Value Mentioned,61,815,7940,False,"Lastest research discovers that novel #coronavirus can also transmit via aerosol...Expert suggests canceling all social activities and gatherings, opening windows regularly to maintain  circulation of indoor air, and focusing on household disinfection https://t.co/fMd6Ic83nr https://t.co/XLaQYvr4Bk"
2020-02-09 06:44:28+00:00,"RT @mariawirth1: Why have these students so much disdain &amp; hate for India, rather Hindus? Because they were taught that Allah said, Kafirs…",pravinchandra,"India,Cameroon,Nigeria,Uganda,",Software Professional Surat,2002,1760,103878,False,"Why have these students so much disdain &amp; hate for India, rather Hindus? Because they were taught that Allah said, Kafirs are the worst of creatures who burn in hell. Q98.6

Can anyone believe that it's true?
Yes, those who hear it from childhood and those who want to believe it. https://t.co/i3L7LZrfs7"
2020-02-09 06:44:35+00:00,"RT @theworldindex: The Most Left-Handed People:

🇳🇱Netherlands: 13.23%
🇺🇸US: 13.10%
🇨🇦Canada: 12.80%
🇬🇧UK: 12.24%
🇫🇷France: 11.15%
🇮🇹Italy:…",RandomStar7,"Gorakhpur, India",Indian,33,132,1181,False,"The Most Left-Handed People:

🇳🇱Netherlands: 13.23%
🇺🇸US: 13.10%
🇨🇦Canada: 12.80%
🇬🇧UK: 12.24%
🇫🇷France: 11.15%
🇮🇹Italy: 10.51%
🇸🇪Sweden: 10.42%
🇩🇪Germany: 9.83%
🇪🇸Spain: 9.63%
🇹🇷Turkey: 9.19%
🇫🇮Finland: 9.1%
🇮🇳India: 5.20%
🇯🇵Japan: 4.70%
🇨🇳China: 3.50%

(Leftyfretz)"
2020-02-09 06:44:37+00:00,RT @kavita_tewari: Send 3 Chinese people to Shaheen bhaag and announce that they have Corona Virus...entire  Jinna waali aazaadi namakharm…,amrendra_kk,"Patna, India","Never be afraid of to take a big step, you can't cross a chasm in two small jumps.",296,283,48260,False,"Send 3 Chinese people to Shaheen bhaag and announce that they have Corona Virus...entire  Jinna waali aazaadi namakharm gaang will disappear.
#ShaheenBaghProtest"
2020-02-09 06:44:42+00:00,"RT @smitaprakash: ""China has been lying...they said it originated from a seafood market...Wuhan has level 4 super-lab that works with world…",Nandeeeta,"Mumbai, India",No Value Mentioned,81,245,2005,False,"""China has been lying...they said it originated from a seafood market...Wuhan has level 4 super-lab that works with world's most deadly pathogens including caronavirus"" https://t.co/4sdMAmcwW1"
2020-02-09 06:44:46+00:00,RT @UnSubtleDesi: “Pakistan is not in such a bad state to ask India for help”: Pakistani students abandoned in Wuhan place hate for India a…,Nishad1010,India,Follower of Capt Ajit Vadakayil.,98,566,18514,False,"“Pakistan is not in such a bad state to ask India for help”: Pakistani students abandoned in Wuhan place hate for India ahead of own life

To the bleeding hearts:  https://t.co/CFNsYi7gr5"
2020-02-09 06:44:49+00:00,"RT @OpIndia_com: Even as the 16th case of Coronavirus emerges, unfazed Malaysian Hindus celebrate Thaipusam Festival and offer prayers to L…",ashu178781,INDIA,"Engineer turned Airplane Controller.Sanghi Nationalist in thoughts and jingoist in nature.
RTs are not endorsement.",306,1846,22157,False,"Even as the 16th case of Coronavirus emerges, unfazed Malaysian Hindus celebrate Thaipusam Festival and offer prayers to Lord Murugan

https://t.co/oilE78xTmH"
