created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-07 17:09:50+00:00,RT @ImtiazMadmood: Will India have less than a million Corona virus cases by the year end or more?,faizalkabaap,"Jaipur, India",i am 26th century Human,40,433,4824,False,Will India have less than a million Corona virus cases by the year end or more?
2020-03-07 17:09:51+00:00,"RT @PMOIndia: Prime Minister reviews the situation on COVID-19 with concerned Ministries. 
https://t.co/2TQz3Mnwzx

via NaMo App https://t.…",nitesh3851,"Etawah, India",BJP leader in Etawah.,259,249,26097,False,"Prime Minister reviews the situation on COVID-19 with concerned Ministries. 
https://t.co/2TQz3Mnwzx

via NaMo App https://t.co/JQJioAoiJX"
2020-03-07 17:09:52+00:00,RT @Treadstone71LLC: The Persian Pasdaran - Iranian Cyber News and Activities https://t.co/NdYlEo6wTo Internet scraped content from @arenda…,vikaswebexpert,India,Graphic Designer / Web Designer / Ui and Ux Designer/App Designer/E-mail Designer/Landing page / Founder-Director of @webdesignquery,1417,4674,22752,False,The Persian Pasdaran - Iranian Cyber News and Activities https://t.co/NdYlEo6wTo Internet scraped content from @arenda @jupeai @vikaswebexpert #coronavirus #iran
2020-03-07 17:09:52+00:00,"Spread of #Coronavirus-Themed #Cyberattacks Persists with New #Attacks
https://t.co/d7nXnGqdJ1",omvapt,"Bengaluru South, India",Purple Hat Penetration Testers,90,22,12908,False,No Value Mentioned
2020-03-07 17:09:52+00:00,"Sorry, But Your AliExpress Order Will be a Bit Delayed; There is a Coronavirus Going Around https://t.co/2F6opkUcch https://t.co/yyCdHTn9LD",Gadgets360tech1,"Delhi, India","Gadgets360technews Is your News, Technology News, Phone, Cameras, TV, Audio,Laptop,Lenses,Accessories website. We provide you with the latest breaking news.",176,1058,10328,False,No Value Mentioned
2020-03-07 17:09:53+00:00,"RT @ExpressTechie: Reliance #Jio and #Airtel have replaced the dial tone. Here's how this will help make India aware about #Coronavirus
htt…",MRoopchand143,India,"Life ... 😌📸📽️😂📱💵😓🐦🎧... 


[DON'T WISH ME ON MY BIRTHDAY, BECAUSE I DON'T WANT FILTERED AND FAKE WISHES.]",1599,475,1001264,False,"Reliance #Jio and #Airtel have replaced the dial tone. Here's how this will help make India aware about #Coronavirus
https://t.co/XP9YDAL7Mh"
2020-03-07 17:09:54+00:00,"RT @ExpressTechie: Do you know that your phone can hold #coronavirus for a long time? Here's how you can clean it to stay safe
https://t.co…",MRoopchand143,India,"Life ... 😌📸📽️😂📱💵😓🐦🎧... 


[DON'T WISH ME ON MY BIRTHDAY, BECAUSE I DON'T WANT FILTERED AND FAKE WISHES.]",1599,475,1001264,False,"Do you know that your phone can hold #coronavirus for a long time? Here's how you can clean it to stay safe
https://t.co/6E3ghv4ynX"
2020-03-07 17:09:55+00:00,RT @UNICEF: Find out how you can protect yourself and family from #coronavirus. 👇,raina_vivek,India,"Let us come forward & work for childrights ,Peace 🕊🕊🕊& Urgent Climate action in the best interests of world children Follows & RTs are not endorsements.",550,1599,33548,False,Find out how you can protect yourself and family from #coronavirus. 👇
2020-03-07 17:09:59+00:00,"RT @NAChristakis: Let’s talk about how the weather affects epidemics and about how, relatedly, there are waves of deaths across time during…",HyperleapTech,"Hyderabad, India",We work with you to deliver advanced tech solutions that accelerate your business.,13,145,25,False,"Let’s talk about how the weather affects epidemics and about how, relatedly, there are waves of deaths across time during epidemics. It may seem early to think about this, but we are just at the beginning of the *first* wave of COVID-19, but likely not the last. 1/"
2020-03-07 17:09:59+00:00,"""Coronavirus cases in India now at 34""  https://t.co/xI3Mz7lyAO",ShivamS73104101,"New Delhi, India",if u r Bad I'm Your dad,2,34,132,False,No Value Mentioned
