created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-13 01:05:44+00:00,"RT @maidros78: Many of the new coronavirus cases in Karnataka, especially in Shimoga and Hassan, are from those returning from Ahmedabad. W…",BaetenIndian,"Noida, India",No Value Mentioned,37,285,17247,False,"Many of the new coronavirus cases in Karnataka, especially in Shimoga and Hassan, are from those returning from Ahmedabad. Why are they allowing travel in these times, especially from red districts to green districts?"
2020-05-13 01:05:45+00:00,RT @RanaDaggubati: Thank you so much ❤️❤️❤️. I love this picture 😍,KommalapatiDil1,"Addanki, India",cult fan of mahesh babu 🔥🔥🔥😍🥰  big fan of TDP✌🏻✌🏻✌🏻  big fan of music directors thaman anna and dsp anna ❤️❤️❤️🔥🔥🔥,70,647,3026,False,Thank you so much ❤️❤️❤️. I love this picture 😍 https://t.co/o5Np1rZv5x
2020-05-13 01:05:50+00:00,"RT @shahidkapoorFC: PRINT ( Deccan Chronicle ) - Shahid misses Jersey 
The committed actor he is @shahidkapoor❤️had built an athletic frame…",varsha_biswal,India,"Most favourite forever - @varun_dvn, @shahidkapoor & @_ravidubey ! ❤
My idols! ❤ They are the BEST! 
Proud #Shanatic #Varuniac #Ravian",589,179,78858,False,"PRINT ( Deccan Chronicle ) - Shahid misses Jersey 
The committed actor he is @shahidkapoor❤️had built an athletic frame to fit the role of a cricketer, which he has not been able to maintain in lockdown. #Jersey https://t.co/wfTjPOD2PV"
2020-05-13 01:05:53+00:00,I hate everyone right now https://t.co/D1Pvc11aQs,73GhiaPet,"Indiana, USA","Ugh, I’m really tired of this presidency. Black Lives Matter #adoptdontshop Spay & Neuter your pets 🐶🐱🐷🐰#Beagles #cats #stayhome",542,1493,41306,False,No Value Mentioned
2020-05-13 01:05:56+00:00,RT @ParveenKaswan: This is how we will get out this pandemic. #Together. https://t.co/A98CLqiFpn,Dr_Rajesh369,"Lucknow, India","MBBS frm KGMU,
MS Orthopaedics BHU Varanasi,
MCh Orthopedic,
Ex Ast. Professor Govt Medical College,
Social Activist, 
Freelancer Orthopedic Surgeon in Lucknow",752,4619,18654,False,This is how we will get out this pandemic. #Together. https://t.co/A98CLqiFpn
2020-05-13 01:05:58+00:00,"RT @ANI: When the crisis started then not even a single PPE kit was manufactured in India, only a few N95 masks were available. Today 2 Lak…",Er_Chandrakanta,"New Delhi, India","Without Engineer's science is Just Philosophy.
।।इंजीनियर।।
।।रास्ट्र बादी।।
।।कट्टर हिंदू।।
।।महाकाल के सब से बड़े भगत।।
💯 FB 🔙",8642,9439,5244,False,"When the crisis started then not even a single PPE kit was manufactured in India, only a few N95 masks were available. Today 2 Lakh PPE kits and 2 Lakh N95 masks are manufactured in India daily: PM Narendra Modi #COVID19 https://t.co/U5vnHWlmgP"
2020-05-13 01:06:01+00:00,Good Morning Have a Nice Day With all Happiness in your life Always Prayer for your Good Health and Smile 🙏 #StayHome @rohanmintoo @TajendraRajora @rajneesh350 @vindhyachal_raj @DrSanjeevRajp4 @ranikhet @SRiitu @Ritu25826785 @RituRahul @Dr_Uditraj https://t.co/brA1x8fdV7,s_szama,"Dhanbad, India","(General secretary of Dhanbad district congress committee), I.N.T.U.C,NEW DELHI ,Vice President at Jharkhand I.N.T.UC Ranchi.",24436,3351,390086,False,No Value Mentioned
2020-05-13 01:06:06+00:00,Millions with health conditions at risk from Covid-19 'if forced back to work' https://t.co/rVmmRBFEfv,write2ragavan,Bangalore India,"Retired in October 2009, from UAE,Settled in  Bangalore ,India.Passion is writing.Blogs










http://t.co/7P3UmaoO
http://t.co/IwOMY5EE",1903,2933,31171,False,No Value Mentioned
2020-05-13 01:06:07+00:00,"RT @WHO: According to the State of the World’s Nursing Report 2020:
☑Governments must invest in massive acceleration of nursing education
☑…",success_welfare,"Mirzapur-Vindhyachal, India","Beti bachao beti padao  
success educational institute and welfare society , 
shrimati indravati devi charitable trust",2080,5002,34055,False,"According to the State of the World’s Nursing Report 2020:
☑Governments must invest in massive acceleration of nursing education
☑6 million new nursing jobs must be created by 2030
☑Investments must be made in nurse leadership

👉https://t.co/YvbxNqrFUO https://t.co/kAAxYLKtIo"
2020-05-13 01:06:07+00:00,"RT @mvmeet: For the next few weeks, 
there won't be any violation in lockdown, 
assaults on police &amp; doctors

BECAUSE

The violent attacker…",TheJeonsa,"Guwahati, India",Bihari | Philomath | Entrepreneur | Honored to be followed by @PiyushGoyalOffc @vijaygoeloffice |,7287,6235,266801,False,"For the next few weeks, 
there won't be any violation in lockdown, 
assaults on police &amp; doctors

BECAUSE

The violent attackers will be busy in searching Kagaz 
for grabbing a huge share in PM Modi's Rs 20 trillion economic package"
2020-05-13 01:06:09+00:00,"really wonder what made wine spilling tennis playing father of a young child Boris Johnson make sure the lockdown was lifted for nannies, cleaners and tennis courts",tanmaysofficial,"Kanpur, India","Kattar Hindu   ll #Nation First ll Believe in fear ll we support Army II हर कदम हिन्दुराष्ट्र ll Only bjp support 🇮🇳🇮🇳
Admin at:
theworldnews24hourschannel",1722,1557,15177,False,No Value Mentioned
2020-05-13 01:06:12+00:00,"RT @USCIRF: Religious freedom in #India during 2019 took a drastic turn downward, a trend that has unfortunately been demonstrated by the s…",saifsultan24,"Madhya Pradesh, India","Hate will desert you, 
Luv & humanity is the only way....do.. and spread.

NAVODAYAN

Don't play the game of follow & unfollow
 
Note - Rt's aren't endorsement",230,302,9074,False,"Religious freedom in #India during 2019 took a drastic turn downward, a trend that has unfortunately been demonstrated by the scapegoating of Muslims during the #COVID19 crisis. As a result, USCIRF recommends India for #CPC designation. 

Read more: https://t.co/95B9IUsHNv"
2020-05-13 01:06:15+00:00,Good morning. Please find all major e-papers in one place to help you get all the news during COVID-19 lockdown. It is important as most of us are not getting hard copy of newspapers these days. #lockdown #staysafe  https://t.co/BFZ9HwUh3U,TheSPSingh,"New Delhi, India",IITK Alumni. Founder https://t.co/9VNSQKKVF0. A political social media portal. A must for every politician and political activist. Raise your voice on #politrix,271,576,6331,False,No Value Mentioned
2020-05-13 01:06:20+00:00,World Bank Fast-Tracks $1 Billion COVID-19 (Coronavirus) Support for India https://t.co/XaqQ67MgOq via @WorldBank,krishna1952,"Mumbai, India",UNITED WE STAND DIVIDED WE FALL IN UNITY THERE IS STRENGTH. WE MUST UNITE AND FIGHT FOR OUR RIGHTS UNITEDLY RATHER THAN BEING PUPPETS OF HANDFUL OF POLITICIANS.,221,272,3467,False,No Value Mentioned
2020-05-13 01:06:22+00:00,RT @aimim_national: Barrister @asadowaisi requests people of Malegaon to adhere to social distancing norms https://t.co/0KTKmAg8X4,owaisnafeesi99,India,No Value Mentioned,48,111,2521,False,Barrister @asadowaisi requests people of Malegaon to adhere to social distancing norms https://t.co/0KTKmAg8X4
2020-05-13 01:06:26+00:00,We protect our privacy community https://t.co/V7VcM58OD3,BABA55647256,India,Just give me few follow nxt taken new like tweets from the last few seconds,42,213,259,False,No Value Mentioned
