created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-24 17:15:55+00:00,"RT @dealsshutter: #GiveAway

It's Time To Show Your Creativity And Get A Chance To Win Shopping Gift Card...!!

Bonus Point - Try To Draw S…",bobby_yugendar,"Vishakhapatnam, India","Never give Up, will win for sure",197,1278,9584,False,"#GiveAway

It's Time To Show Your Creativity And Get A Chance To Win Shopping Gift Card...!!

Bonus Point - Try To Draw Something On This Topic ""STAY HOME STAY SAFE""

- Follow @dealsshutter
- Share Our Post On Your Timeline
- Tag 5 Friends

#Drawing #Dealsshutter #ContestAlert https://t.co/sk5vOuSWWA"
2020-04-24 17:15:56+00:00,"RT @htpune: 104 fresh #Covid19 cases in Pune, with four deaths

(report by @prachibari)

https://t.co/kdqYBLzGew https://t.co/w4pXyIorwV",coolhunmai,India,Jaagte raho..!!,16208,206,27023,False,"104 fresh #Covid19 cases in Pune, with four deaths

(report by @prachibari)

https://t.co/kdqYBLzGew https://t.co/w4pXyIorwV"
2020-04-24 17:15:57+00:00,@Amitraaz @DrTedros Now new outbreak has erupted in Harbin city of China- the newest addition to the global hotspots of #WuhanChinaVirus. It would be interesting to see how the spineless &amp; sold out Tedros will dance to #XiJingping 's tune this time. Will he wag his tail or lick Xi's boots?,debajyotidutta,"Bengaluru, India","Technology, Military, Geo-Politics, Diplomacy, Strategic Affairs
 🇮🇳",16,344,1814,False,No Value Mentioned
2020-04-24 17:15:57+00:00,RT @RajivKrishnaS: Volunteers distribute #EssentialGoods in Red Zone area in #AP State. The Volunteer system set up by Hon’ble @AndhraPrade…,373Karimshaik,"Guntur, India","మనిషి రూపం లో నేను చూసిన దేవుడు @ysjagan ❤
నేను సైతం జగన్ అన్న కోసం",68,558,9438,False,Volunteers distribute #EssentialGoods in Red Zone area in #AP State. The Volunteer system set up by Hon’ble @AndhraPradeshCM @ysjagan has been at forefront of helping citizens during #LockDown #APFightsCorona #YSJaganCares @CCCWAP @YSRCParty @peddireddyysrcp @gkd600 @BotchaBSN https://t.co/rPBFwszyzt
2020-04-24 17:15:57+00:00,"RT @RyanAFournier: This is disgusting.

Democrats in Detroit are going to censure Dem State Rep. Karen Whitsett for her support of Hydroxyc…",shane_hannon,"Indianapolis, IN",Exposing the lies is so fun to see.,28,120,849,False,"This is disgusting.

Democrats in Detroit are going to censure Dem State Rep. Karen Whitsett for her support of Hydroxychloroquine.

She spoke out about the drug saving her life after suffering from COVID-19.

Are you kidding me?!

RT!"
2020-04-24 17:15:57+00:00,"@KiritSomaiya @BJP4Maharashtra @Dev_Fadnavis @mybmc @rajeshtope11 Some sections of the society do not bother to follow lockdown. Govt does want to force it for obvious reasons. Police is trying it's bit, but not so effective with missing commander. No governance as CM not in action. I said earlier,  MH is WB in making now, unfortunately.",MAkiwate,India,"Inclusive growth oriented, Tech Savvy, Nationalist, ಶ್ರೀಸಾಮಾನ್ಯ",45,35,286,False,No Value Mentioned
2020-04-24 17:15:57+00:00,"RT @absolutesatya: Tell me honestly sir, during lockdown what you missing the most?

CHIKARA : https://t.co/5LYNRVDPTo",sharukh41088421,"Hyderabad, India",business,23,132,333,False,"Tell me honestly sir, during lockdown what you missing the most?

CHIKARA : https://t.co/5LYNRVDPTo"
2020-04-24 17:15:57+00:00,"RT @sunetrac: Okay, am confused. The honourable top court has time to hear this during the lockdown but not about hospitals and covid patie…",sandeep8001,"Uttar Pradesh,India.",Nothing special.,131,37,69875,False,"Okay, am confused. The honourable top court has time to hear this during the lockdown but not about hospitals and covid patients? https://t.co/3w5iqk9ebS"
2020-04-24 17:15:57+00:00,RT @ishkarnBHANDARI: Horrible that a FIR is registered on this for refusing to take delivery from a person who is not acting as per precaut…,jatinagrawal02,"Vapi, India","I don't like to share my hobbies, interests, etc.
So, no need of a bio😊😊",41,36,4414,False,Horrible that a FIR is registered on this for refusing to take delivery from a person who is not acting as per precautions told by Govt in Coronavirus. https://t.co/g72mpwzm3H
2020-04-24 17:16:00+00:00,"RT @BPCLimited: Fly Dubai Cargo aircraft carrying the essentials being refuelled at #Bengaluru Airport, by our Team Aviation, following the…",santoshkurki,"Davangere, Karnataka, India",No Value Mentioned,78,352,107,False,"Fly Dubai Cargo aircraft carrying the essentials being refuelled at #Bengaluru Airport, by our Team Aviation, following the COVID-19 protocol. #SaluteCoronaWarriors #IndiaFightsCoronaVirus https://t.co/6lEhKsb0sa"
