created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-22 01:05:20+00:00,"RT @jijoy_matt: No Food, No Money, No Job. 
""Give us food or let us go home,"" here is why migrant labourers in Surat, Gujarat are protestin…",Karan_withRG,India,"@withRG
I believe in ideology of @INCindia  | @congress in blood | Fan of sh @RahulGandhi ji, Maharaja @Capt_amarinder ji",1138,288,31671,False,"No Food, No Money, No Job. 
""Give us food or let us go home,"" here is why migrant labourers in Surat, Gujarat are protesting on the streets, amid a nationwide lockdown due to Covid-19. Watch this. https://t.co/jCWbJqGGs3"
2020-04-22 01:05:23+00:00,"RT @haidermisbahi: This is Raj Thackrey, one of the prominent leaders of MNS, a political party in Maharashtra, India. He had given a call…",QamareAlam16,"Gorakhpur, Uttar pradesh India",teacher,375,412,3997,False,"This is Raj Thackrey, one of the prominent leaders of MNS, a political party in Maharashtra, India. He had given a call to shoot people belonging to #TablighiJamat. Because like many, he thinks these people have spread #Corona in India.
#Islamophobia_In_India https://t.co/AYW0WPyfCs"
2020-04-22 01:05:25+00:00,"RT @MadhuriDixit: Hey guys, since the lockdown has got us all hooked on our phones, I thought why not have some fun with it! I am going to…",ayushbikku,India,Really exciting to work and develop technology for humanity.,10,118,229,False,"Hey guys, since the lockdown has got us all hooked on our phones, I thought why not have some fun with it! I am going to share a screenshot of my phone wallpaper &amp; I am eager to see what's yours. So let's begin! #WhatsOnYourPhone https://t.co/7leQNx72fg"
2020-04-22 01:05:28+00:00,RT @NaveenismOdisha: Centre has appreciated Odisha for being among top two states in controlling and combating the #COVID19 pandemic effici…,SpeaksOdisha,"Orissa, India",No Value Mentioned,1010,7,2778,False,"Centre has appreciated Odisha for being among top two states in controlling and combating the #COVID19 pandemic efficiently and the virus rate is doubled in 30 days in other states compared to Odisha.

#OdishaFightsCorona #NaveenCares https://t.co/30ZCtYneRj"
2020-04-22 01:05:30+00:00,"RT @AskAnshul: Bihar's Araria:

A policeman was 'punished' &amp; forced to do sit-ups while holding ears by agriculture officer Manoj Kumar

Hi…",KunmunSankar,"Jajpur, India","Big fan of Modi,Yogi# Supporter of BJP,RSS,VHP#Not communal but Hates Pseudosecular|Proud to Born as a Hindu.",660,1842,5297,False,"Bihar's Araria:

A policeman was 'punished' &amp; forced to do sit-ups while holding ears by agriculture officer Manoj Kumar

His only fault was that he followed lockdown orders &amp; stopped the officer  

And Bihar Govt sent a show-cause notice to that officer.

Notice? Is this a joke?"
2020-04-22 01:05:34+00:00,"RT @RT_com: A Chinese scientist says #COVID19 has mutated into a deadlier strains, and you know what, this is now how we're going to go out…",SanaSarwat7,India,"Housewife. Passionate about #Maths education, collaboration and learning. Visit my #Fashion store https://t.co/aM0OYU8iXV",79,49,18220,False,"A Chinese scientist says #COVID19 has mutated into a deadlier strains, and you know what, this is now how we're going to go outside for the rest of 2020 and beyond. 

https://t.co/WRkCwUhhPE https://t.co/0VdETplI2X"
2020-04-22 01:05:36+00:00,"RT @Satyanewshi: After central team  came to help the state, instead of helping the task force Nirmamata restricted them from visiting the…",kanhaiyajee12,India,"https://t.co/U0JfDNbKDF
le_images…",155,71,31256,False,"After central team  came to help the state, instead of helping the task force Nirmamata restricted them from visiting the hotspots, and now she has  been into Rajabazar, Topsia, requesting to obey lock down
HIDE and SEEK  going on https://t.co/PPgQKMn3LC"
2020-04-22 01:05:36+00:00,"RT @AskAnshul: For Palghar lynching, nobody questioned:

1. State govt: How did crowd gather in lockdown?

2. CPIM MLA

3. Police for watch…",bittu_bhai1010,India,"Graduate.
Aspirations For a Better Tomorrow.
Foody.
Have my own Ideology, Views and difference of Opinion on different Issues.",1311,2436,94193,False,"For Palghar lynching, nobody questioned:

1. State govt: How did crowd gather in lockdown?

2. CPIM MLA

3. Police for watching silently.

Instead, fake news was spread: BJP Sarpanch was arrested in this case.

Fact: BJP Sarpanch getting threats from relatives of arrested accused"
2020-04-22 01:05:38+00:00,"Coronavirus: US green cards to be halted for 60 days, Trump says https://t.co/QrMgKgMok5",namanmahajan44,"Dewas, India","I am Naman Mahajan as a profession I am a multimedia artist with various skills like graphics design and animation, my current website is https://t.co/Ml7A8mvt5E",18,25,3168,False,No Value Mentioned
2020-04-22 01:05:38+00:00,RT @angkitadutta: . @srinivasiyc has been an inspiration throughout his journey as an activists. Personally I have not seen anyone who has…,Karan_withRG,India,"@withRG
I believe in ideology of @INCindia  | @congress in blood | Fan of sh @RahulGandhi ji, Maharaja @Capt_amarinder ji",1138,288,31671,False,. @srinivasiyc has been an inspiration throughout his journey as an activists. Personally I have not seen anyone who has worked tirelessly and with such dedication during #COVIDー19 Relief ! Relief ! Relief thats what’s he has been doing since this lockdown without a plan @IYC https://t.co/8ptBqWK6HM
2020-04-22 01:05:38+00:00,"RT @Rajniin48551148: In this lockdown period, @derasachasauda followers are also doing their contribution such as providing food / rashan t…",kukkartarsem,Bikaner Rajasthan India,IT WING MEMBER,231,283,63445,False,"In this lockdown period, @derasachasauda followers are also doing their contribution such as providing food / rashan to the needy. This they have learnt from their Guru  @Gurmeetramrahim Ji. What other contribution they are giving??? 

#ServeNeedyInLockdown"
2020-04-22 01:05:38+00:00,RT @priya_cheers: From a colleague in the field of Anesthesia and ICU working on the frontline of COVID19- here is what she messaged today.…,harini_niki1910,"Salem, India",Sadhguru’s little girl...!! 🙈🙈 A craziest lover of Devi..!! 🙊🙊,637,838,8831,False,From a colleague in the field of Anesthesia and ICU working on the frontline of COVID19- here is what she messaged today. Truly grateful to @SadhguruJV and @ishafoundation for a simple 3 minute tool to build immunity and improve lung capacity #SimhaKriya 🙏🏼 https://t.co/YxpD9ZxNnR
2020-04-22 01:05:39+00:00,RT @NursingNotesUK: It is with great sadness we announce that nurse Julie Penfold has sadly died from COVID-19. Her daughter said she “love…,thanalofficial,"Chennai, India","இங்கு ரவுத்திரம் பிறப்பதும், மூடமய் எரிப்பதும், தீச்செயல் அழிப்பதும் - தணல், நாடு திருந்த திருத்தம் சொல்லும். retweets are not endorsements.",9,189,553,False,"It is with great sadness we announce that nurse Julie Penfold has sadly died from COVID-19. Her daughter said she “loved her job, she loved helping people, she was a beautiful person.” https://t.co/NvSSaaXH4f"
2020-04-22 01:05:40+00:00,CDC chief warns of 'even more difficult' wave of coronavirus next winter https://t.co/jgoNPLCowy,anish_nanda,"Mumbai, India",21 yrs exp in IT. Held Leadership positions in various companies. Now in stock market-Not SEBI registered; educational purpose only. Canadian citizen with OCI.,49,8,7583,False,No Value Mentioned
2020-04-22 01:05:42+00:00,"RT @NehaWadekar: Last year @samiribrahim and I bought a bunch of stuff for #burningman - masks with filters, hand sanitizer, Lysol wipes. W…",mrsunil58,India,"Admire positive thinking, transparency and honest action, Simplicity #Motivation  #inspiration Love Nature, Wildlife, Travel, Good Food, Sports, Music, Reading",5659,5831,32004,False,"Last year @samiribrahim and I bought a bunch of stuff for #burningman - masks with filters, hand sanitizer, Lysol wipes. Who would have thought our surplus would come in handy now? #COVID19"
2020-04-22 01:05:43+00:00,"RT @ashoswai: They keep saying in China, they eat 'this and that'. If you tell them in certain parts of India, we also eat that 'this and t…",rvn1304,"Bengaluru South, India","stock market:Trader & investor in #substandard #poverty #fraud #corruption rich country #India #castism  #doublestandards #atrocity

https://t.co/JHi3GHnEAC",422,4340,8130,False,"They keep saying in China, they eat 'this and that'. If you tell them in certain parts of India, we also eat that 'this and that' then they say you are a racist. Logic and bigotry are like water and oil! #COVID19"
2020-04-22 01:05:43+00:00,RT @indgop: .@INGuardsman has been working hard to serve Hoosiers in our fight against the #coronavirus. They have been on the front lines…,lisareid11,Indiana,No Value Mentioned,1686,408,115526,False,".@INGuardsman has been working hard to serve Hoosiers in our fight against the #coronavirus. They have been on the front lines delivering food, supplies &amp; helping at test sites.

https://t.co/kp1wqzYHXN"
2020-04-22 01:05:45+00:00,Good for this dude. Shit em DOWN https://t.co/vVRCcbSFIY,aeast317,"Indianapolis, IN",still sad after all these years (oh p.s. my opinions are my own),481,939,19492,False,No Value Mentioned
2020-04-22 01:05:48+00:00,"RT @CissnaMatthew: No thanks, experts. I get my health advice from a failed casino owner who makes gut decisions. https://t.co/TyFoAzUB3q",SarcasmicGuru,"New Delhi, India","an Anesthesiologist,
a newbie reader,
a Gulzar disciple,
a dad of 2 cuties and.... 
no offences... 
#thodaSARCASMhojaye 
#sarcasmisMeditation",556,1798,6859,False,"No thanks, experts. I get my health advice from a failed casino owner who makes gut decisions. https://t.co/TyFoAzUB3q"
2020-04-22 01:05:55+00:00,"RT @StuteeMishra: In Bihar's Araria, a homeguard was made to do sit-ups as punishment and beg for mercy after he stopped an agriculture off…",CAP_269,India,No Value Mentioned,289,444,8450,False,"In Bihar's Araria, a homeguard was made to do sit-ups as punishment and beg for mercy after he stopped an agriculture officer, asked for pass and checked his car. What an honourable way to thank Corona-fighters! https://t.co/8kICdUdNAg"
