created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-18 09:10:24+00:00,"Mr Kataoka from Tokyo believed he was doing ample housework in the lockdown and gave his wife a list of his tasks- bathing the kids, washing dishes etc
How little he knew. The missus then made a spreadsheet, listing her 210 tasks to his 21. Talk about Japanese attention to detail https://t.co/0BFgFrJIUw",nishantparekh38,"Mumbai, India",Consulting writer. Former News Editor @autocarindiamag. Ex- @Cogencis. Car nut. News junkie. Long reads enthusiast. XIC alum. Work- https://t.co/o2uKxjptLj,496,992,2221,False,No Value Mentioned
2020-05-18 09:10:25+00:00,RT @amalaakkineni1: Signs of hunger &amp; starvation across the city as brave efforts of @unitedwayhyd continues. We support distribution of ra…,Shivamani32,"Vishakhapatnam, India",No Value Mentioned,32,105,2369,False,Signs of hunger &amp; starvation across the city as brave efforts of @unitedwayhyd continues. We support distribution of rations to families facing starvation due to lockdown. Please reach into your hearts &amp; support more such families. Click here to donate https://t.co/iErhWUi6Fe https://t.co/Ml47bWPX48
2020-05-18 09:10:25+00:00,"Tweet #003
Are they still printing daily horoscope in news paper?
Cause it can't be same for everyone, right?
Stay Home Stay Safe🤞🏼
#coronavirus",UNishandar,"Thane, India","Wanna do something good, that inspire others!",3,3,3,False,No Value Mentioned
2020-05-18 09:10:26+00:00,"RT @MoHFW_INDIA: #IndiaFightsCorona:

Let us be kind to each other. Do not discriminate, hurt or abuse anyone in the name of #COVID19. Toge…",shreeshpandey00,"Lucknow, (UP),India",सम्मान से रिक्त जीवन और जल से रिक्त पौधे देर सवेर सूख ही जाते हैं इसलिए सम्मान खुद की नजरों में होना अनिवार्य है।।,74,58,11062,False,"#IndiaFightsCorona:

Let us be kind to each other. Do not discriminate, hurt or abuse anyone in the name of #COVID19. Together we will fight COVID-19. 

#HealthForAll #SwasthaBharat #CoronaOutbreak #Lockdown4 https://t.co/UFHUP0Jcmc"
2020-05-18 09:10:26+00:00,UK lockdown: Can I see my family and friends under new coronavirus rules? https://t.co/4UNMHhXblD,Dooiz1,India,"https://t.co/ssgZn149hb
Videos Youtube Music Songs Movies News",6,2,41238,False,No Value Mentioned
2020-05-18 09:10:26+00:00,All Predictions Spot On Rahu-Mars On Corona Wheel15th May-4th June 2020 Stocks Gold Cyclones Astrologer Anil Aggarwala https://t.co/H9MEdRbyqT,aggarwalaanil,"New Delhi, India",@astrodocanil,352,10,2416,False,No Value Mentioned
2020-05-18 09:10:26+00:00,UK lockdown: Who is encouraged to return to work after Boris Johnson&amp;apos;s speech? https://t.co/uC42TJU7S8,Dooiz1,India,"https://t.co/ssgZn149hb
Videos Youtube Music Songs Movies News",6,2,41238,False,No Value Mentioned
2020-05-18 09:10:26+00:00,@mohanstatsman is the Norbert Elekes that the world deserves and needs at the moment. https://t.co/0vV1GffYBC,morerajdeep,"Mumbai, India","Gastroenterologist, Hepatologist & GI endoscopist",382,780,9973,False,No Value Mentioned
2020-05-18 09:10:27+00:00,Coronavirus antibody test: What is it and how can I get a home testing kit? https://t.co/VEbuGi6X7X,Dooiz1,India,"https://t.co/ssgZn149hb
Videos Youtube Music Songs Movies News",6,2,41238,False,No Value Mentioned
2020-05-18 09:10:27+00:00,RT @BrainandMoney: #SaudiArabia shopping mall after lock down👇🏿👇🏿👇🏿 https://t.co/pZt3XXpWYd,vikesh_ara,"Delhi, India",Don’t Judge a book by its cover🙏🏻🙏🏻Proud Indian # Jai Hind🙏🏻,32,145,1913,False,#SaudiArabia shopping mall after lock down👇🏿👇🏿👇🏿 https://t.co/pZt3XXpWYd
2020-05-18 09:10:27+00:00,RT @godjinnie: i want dispatch's apology for not practicing social distancing and stalking the boys too,cookysome,India,"💜#Namjoon : I feel that people should be respected even just for the reason that they are living and that they exist.💜#wangxian♥️💙
 |fan account|",1103,1322,50454,False,i want dispatch's apology for not practicing social distancing and stalking the boys too
2020-05-18 09:10:29+00:00,RT @sonaliranade: This SOP can halt the Covid-19 virus in its tracks.  Don’t test asymptomatic patients unless they have a travel history o…,sajeed75sh,India,"Never let your memories be greater than your dreams. Retweets/Likes are not endorsements,believes in unbiased constructive communication.
KKR,Barcelona,Tennis.",220,1332,29200,False,"This SOP can halt the Covid-19 virus in its tracks.  Don’t test asymptomatic patients unless they have a travel history overseas.  Refuse to test unless the patient is fully symptomatic, by which time she is dead.  Don’t test the dead. No Covid.  QED.

https://t.co/gtNh7Sj7uh"
2020-05-18 09:10:30+00:00,"With the @PIBHomeAffairs releasing norms for #Lockdown4 , @BCCI looking to tread cautiously. Read👇

#LockdownExtended #lockdown4guidelines #Lockdown4point0 #Cricket #indiancricket #resumptionofcricket

https://t.co/BzmN5LDPGJ",sports_kyro,"New Delhi, India","Sports News  Media
Kyrosports is an all-sports website, with multinational audience and writers. Follow us for more sports news, updates, stories and interviews",29,50,171,False,No Value Mentioned
2020-05-18 09:10:31+00:00,"Lockdown 4.0 GIRLS REACTION😂😂
.
.

.
.
.
.#lockdown4 #memes2020 #memes #20MFORCARRY #callherdaddy https://t.co/3RFCWuXCQD",khanali_2,"Rampur, India","💮IAM SINGLE♥
💮MY DAY 24 DEC..",5,35,13,False,No Value Mentioned
2020-05-18 09:10:31+00:00,"RT @aveeksen: 13 people in Zee News tested Corona positive. 

Staff  moved to WION building where they were treated with contempt. One with…",avi_rules16,"New Delhi, India",I'm decent man who exports flowers #DestroyTheAadhar,661,441,90321,False,"13 people in Zee News tested Corona positive. 

Staff  moved to WION building where they were treated with contempt. One with Zee News reportedly  responded "" Are we Tablighis?"""
2020-05-18 09:10:32+00:00,"RT @Omkar_Raii: #AI, #robotics &amp; precision medicines will play a transformative role during post-#COVID19 era by bringing in paradigm shift…",Ajaykumar1908,"Bengaluru, India",😀😀😀,52,81,18616,False,"#AI, #robotics &amp; precision medicines will play a transformative role during post-#COVID19 era by bringing in paradigm shift across all sectors, enabling businesses adopt emerging technologies more often to warrant resilience and business continuity.https://t.co/fkD0pSXnIL"
2020-05-18 09:10:32+00:00,"RT @AshramGzb: The Govt.@narendramodi should release prisoners on parole in view of the increasing spread of Corona infection.
#SavePrisone…",rajendrasn123,"Rajasthan, India",No Value Mentioned,363,589,25794,False,"The Govt.@narendramodi should release prisoners on parole in view of the increasing spread of Corona infection.
#SavePrisoners_GrantParole

Considering #Bapuji age and his health, he should get parole soon.
#GrantParoleToSecurePrisoners

#Corona #lockdown Bhandara by @AshramGzb👇 https://t.co/BQqP6guWtE"
2020-05-18 09:10:33+00:00,@Waibry @PAULIBABBA ..Making dancing videos and standing around getting drive by thanksgivings from the sleeping masses..hospitals are filing bankruptcies?? During the busiest they should be..it’s a pandemic right?..Where are all the other patients?? Literally no one. Ghost towns..weird,ryspraypaintguy,"Indiana, USA","God, Country and Family. 🇺🇸Following 17 to win our country back! SLAVES NO MORE! Husband,Father,Spray paint artist,RV and auto body repairman, Avid fisherman.",368,385,5987,False,No Value Mentioned
