created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-10 07:00:00+00:00,"Coronavirus: Death toll in US nears 80,000-mark after 1568 fresh COVID-19 fatalities in 24 hours.

https://t.co/KRptj2C15u",TimesNow,India,"TIMES NOW is India’s most watched English news channel. Follow for lightning fast #BreakingNews and #Alerts.

We're on Telegram: https://t.co/T7TNOI7cXV",9656921,394,544666,True,No Value Mentioned
2020-05-10 07:00:01+00:00,@BohemianTitan @TheBabylonBee Bees article is about a movie that came out last year meanwhile Onion is doing covid material. Talk about whos more relivant? https://t.co/9ATzbU01u9,Pengopen,"Bangalore, Karnataka, India",Head of https://t.co/nIQvdNOc6K,591,2212,3632,False,No Value Mentioned
2020-05-10 07:00:01+00:00,RT @theNormieGuy: Nobody would have survived lockdown if it wasn't for mom's food.,SumanSi11233228,"West Bengal, India","yes I am weird,weird is good. normal is overrated 😊",210,577,4940,False,Nobody would have survived lockdown if it wasn't for mom's food.
2020-05-10 07:00:02+00:00,"RT @subhra310: Post #COVID19 - Strategies for #International #Marketing of #Agriculture and #Food Sector.
NPC invites you all to interact w…",GokulRajkamal,"Hyderabad, India",Working as an Assistant Director at National Productivity Council,130,162,2633,False,"Post #COVID19 - Strategies for #International #Marketing of #Agriculture and #Food Sector.
NPC invites you all to interact with Sh. Rakesh Mohan Joshi, Chairperson Research, IIFT
 10th May 2020 at 3PM
Register : https://t.co/FfXrUZapNT
@Agri_Exports @MOFPI_GOI  @SMEForumIndia"
2020-05-10 07:00:02+00:00,"RT @prprofessional7: Sarvesh Tiwari, MD at #PRProfessionals educating the #underprivileged in East Champaran about the importance of #Socia…",amritag1974,"Raxaul Bazar, India",amrita,47,131,140,False,"Sarvesh Tiwari, MD at #PRProfessionals educating the #underprivileged in East Champaran about the importance of #SocialDistancing in a native way by using a stick to distribute different coloured #masks for men, women and children.
@SarveshSays #coronavirus #PRP #ProudPRP https://t.co/DJkyTNXpGl"
2020-05-10 07:00:02+00:00,"RT @RiteshVijay6: Covid cases of India - May 10, 2020.

One more fully recovered green circle i.e. Mizoram https://t.co/hyyk8HWAXs",vguptaiitr,"Roorkee, India","Technical Officer, IIT-Roorkee",87,386,363,False,"Covid cases of India - May 10, 2020.

One more fully recovered green circle i.e. Mizoram https://t.co/hyyk8HWAXs"
2020-05-10 07:00:02+00:00,RT @Chellaney: China's aggression amid a pandemic: The India-China skirmish near the Himalayan pass of Naku La — which left several soldier…,shaileshraibhil,BHILAI chhattisgarh  India ,hindutva & India 🇮🇳 supporter,292,218,41960,False,"China's aggression amid a pandemic: The India-China skirmish near the Himalayan pass of Naku La — which left several soldiers on both sides injured — has come as Chinese coast guard ships, for a second day in a row, intrude into the waters of Japanese-controlled Senkaku Islands."
2020-05-10 07:00:05+00:00,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

@WesternRly has made significant contribution to serve the nation amid #lockdown. So far, 3258 ra…",InfoGujcost,"Gandhinagar, Gujarat, India","GUJCOST, working under the aegis of the Dept of Science & Technology, Govt of Gujarat is the nodal organization for promotion & popularization of S&T among all.",1526,274,2942,False,"#IndiaFightsCorona: 

@WesternRly has made significant contribution to serve the nation amid #lockdown. So far, 3258 rakes have been loaded amounting to 6.14 Million tons of essential goods to different states including North East region.

Details: https://t.co/T9v8r34GK2 https://t.co/qzQk4VIATT"
2020-05-10 07:00:06+00:00,"RT @Chellaney: Through aggressive actions, China may be seeking to remind its neighbors that they could face further trouble by siding with…",vis0807,India,No Value Mentioned,50,100,17787,False,"Through aggressive actions, China may be seeking to remind its neighbors that they could face further trouble by siding with the West in supporting an inquiry into the origins and spread of the coronavirus. The forthcoming WHO assembly meeting will see a push for such an inquiry."
2020-05-10 07:00:07+00:00,"RT @ANI: 8 people who have returned from Ahmedabad, Gujarat have tested positive for COVID19 in Shivamogga: Karnataka Minister KS Eshwarapp…",LijuMat21801891,"Cochin, India",|人間❤| Interested in politics and Current affairs| Centrist -INC💪 | Patriotic Indian 🇮🇳 | Malayali 😎       |Jesús⛪salva | 🐦🔁⚠,1960,2576,94413,False,"8 people who have returned from Ahmedabad, Gujarat have tested positive for COVID19 in Shivamogga: Karnataka Minister KS Eshwarappa

Karnataka's Shivamogga district is under green zone category. https://t.co/j75UH6Uywk"
2020-05-10 07:00:07+00:00,How Events Industry In India Is Tackling Impact Of Covid-19? #startups #news #thestartuptoday #AInews #TST https://t.co/WYw6sUGIh5,thestartuptoday,India,"We present you the gist of whole startup word in just 5 mins, curated into 5 second cards, swipe up when done and move to the next.",44,23,7567,False,No Value Mentioned
