created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-29 11:00:00+00:00,"❝I see political will as an enabler for online education to flourish❞ - @RonnieScrewvala 

watch @aditiratho discuss ❛How #COVID_19 #Lockdown is Transforming the #Education Technology Sector❜ with @RonnieScrewvala here ➡ https://t.co/iHcRbyBJRr 

#Pandemic #onlineeducation https://t.co/JHht2EfXnM",ORFMumbai,"Nariman Point, Mumbai, India","Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance. Part of @orfonline",2636,13,46400,True,No Value Mentioned
2020-04-29 11:00:00+00:00,"""Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus.""
How much more damage will the hate-spewing IT cells cause to the citizens of this country? Is there no end to Islamophobia?

https://t.co/owBsvKNcFb",ThePeopleOfIN,India,National Action Against Citizenship Regime | Present focus: Providing relief to those whose survival is affected by the lockdown #CitizensAboveCitizenship,23445,40,2415,False,No Value Mentioned
2020-04-29 11:00:01+00:00,"#IndiaFightsCOVID19 – Plasma therapy: #COVID19 cure or jumping the gun?

Get the answers for this and more from the experts. Join us live at 6:30 PM. 

Tweet your questions with #AskCNNnews18 or call on 0120-4341895. https://t.co/r970RtGk1E",CNNnews18,India,"Lightning fast alerts, #BreakingNews from India and the world.",4487890,425,793769,True,No Value Mentioned
2020-04-29 11:00:02+00:00,"I appreciate Congress efforts. But concern is that, Let the people go native place. Later on govt do what they want. For this Lockdown shall be lifted for 72 hours with planing. 
सरकार  AC में रहकर फतवा निकालेंगे और लोगो को भुखमरी और कुत्ते जैसी जींदगी  जीयेंगे यह तो दोगली नीति! https://t.co/yGVbQAjBzo",Prof_Manohara,"Nagpur, India","Prof. Manohar K.  Master from Visveswaraya National Institute of Technology, Nagpur. Worked on Metro Rail & Bridge Highway Project. Prof. Structural Engg.",166,342,2279,False,No Value Mentioned
2020-04-29 11:00:03+00:00,"RT @drmonika_langeh: If anything wrong happens to me. This handle will be the responsible. Stalking, mantle harass is being faced by me and…",cholapravat11,"New Delhi, India",Go beyond every fear.,191,1249,22133,False,"If anything wrong happens to me. This handle will be the responsible. Stalking, mantle harass is being faced by me and he is responsible. I have all the evidences. @DelhiPolice @JmuKmrPolice @DCPSouthDelhi @CyberDost @HMOIndia @NIA_India https://t.co/JUVr65tr8S"
2020-04-29 11:00:06+00:00,"RT @Ketann7: @pbhushan1 Sir,
What we have done for ourselves alone dies with us; what we have done for others remains &amp; is immortal.

#Asha…",PriyatamKaushik,"New Delhi, India",No Value Mentioned,319,570,28365,False,"@pbhushan1 Sir,
What we have done for ourselves alone dies with us; what we have done for others remains &amp; is immortal.

#AsharamjiBapuAshramServices during this Corona Lockdown is commendable 👏👏
Society will always remember this generosity.
https://t.co/bTJ3t2qDjs
https://t.co/Yt9LSzM3Ib"
2020-04-29 11:00:06+00:00,"RT @htTweets: Spain reports 325 new #COVIDー19 deaths, total deaths cross 24,000

https://t.co/OfHuGdsZiy https://t.co/9EWDZBRvQX",KccSubham,"India, Qatar",In Pursuit Of HappYness. 🇮🇳,282,939,13888,False,"Spain reports 325 new #COVIDー19 deaths, total deaths cross 24,000

https://t.co/OfHuGdsZiy https://t.co/9EWDZBRvQX"
2020-04-29 11:00:08+00:00,RT @astitvam: When Karnataka sealed its borders all the chest beaters were shouting at us and now Kerala has sealed the Karnataka and Tamil…,JamadiVishwaraj,"Karnataka, India",Follow Your Dreams 🇮🇳. Dreamer. Achiever.,13,243,1280,False,"When Karnataka sealed its borders all the chest beaters were shouting at us and now Kerala has sealed the Karnataka and Tamilnadu borders but no one is shouting. Consumed Fevicol?
#KeralaSealed
https://t.co/B9Aiomt1Mc"
2020-04-29 11:00:08+00:00,"RT @covidindiaNTF: Catch us live on Instagram today at 7pm with Anirudh Arun, author of 'Plagued', a novel based on the COVID-19 pandemic,…",nj_nupurjha,"Gurgaon, India",No Value Mentioned,0,25,8,False,"Catch us live on Instagram today at 7pm with Anirudh Arun, author of 'Plagued', a novel based on the COVID-19 pandemic, for a book-reading session and Q&amp;A with our team.
 #ReadMoreSaveLives https://t.co/oOPVeSmqiV"
2020-04-29 11:00:09+00:00,RT @PeterAlphonse7: Criticism of jothika -a ploy by Sanghis to divert attention of social media from multiple failures of central&amp; state go…,Sentham01678729,"Acharapakkam, India 9994866409",மதுராந்தகம் சட்ட மன்ற தொகுதி காங்கிரஸ் தகவல் தொழில் நுட்பம் மற்றும் சமூகம் ஊடகம். பொறுப்பாளர்.காஞ்சிபுரம் மாவட்டம்.,429,485,31019,False,"Criticism of jothika -a ploy by Sanghis to divert attention of social media from multiple failures of central&amp; state govts on corona war https://t.co/xJMAmVMOR9""Kovil"" she meant all worshipping places.Hospitals&amp;schools meant for all. Not for particular religion.jothika stand 👍👏"
2020-04-29 11:00:09+00:00,"RT @BillGertz: Breaking: Wuhan research laboratory ‘most likely’ origin of coronavirus, according to a U.S. government report obtained by @…",Himanshu_jc,"Delhi, India",No Value Mentioned,56,724,1007,False,"Breaking: Wuhan research laboratory ‘most likely’ origin of coronavirus, according to a U.S. government report obtained by @WashTimes https://t.co/ecsjpc2s5q"
2020-04-29 11:00:10+00:00,"RT @maryashakil: It’s a disease #COVIDー19 that knows no religion,caste,gender, nation.All boundaries have blurred. Here’s a list of 20 majo…",DhjPvt,India,"Started hashtag #EconomicJihad .Follow my handle for select nationalist RTs.

Read all anti-nationals' tweets using this list:  https://t.co/RvHvVNUswz",568,2036,59123,False,"It’s a disease #COVIDー19 that knows no religion,caste,gender, nation.All boundaries have blurred. Here’s a list of 20 major Islamic/Muslim countries&amp;the state of Corona infections there. It is a myth that Corona doesn't kill ""real Muslims.” So follow lockdown rules. #coronavirus https://t.co/ROb4BeuziF"
2020-04-29 11:00:10+00:00,"@maha_governor, @HMOIndia @PMOIndia @OfficeofUT 
Respected Governer of Maharashtra. Two Major issues completely messesd up in Maharashtra 1. Covid19 mismanagement 2. Law and order in Mumbai. Current state Govt completely failed on both counts. Need Central rule Immediately.",SameerM1298,"Haveli, India",A nomad of universe. Now on this unique and beautiful planet called Earth. Hoping human greed won't destroy it.,45,140,10378,False,No Value Mentioned
2020-04-29 11:00:11+00:00,"RT @karanbirtinna: Ever since the lockdown started, I've saved 3 trillion dollars by not buying popcorn at the movies.",VermaSaab64,"Dehradun, India",Strangers think I am quite but only my friends know how insane I am! 😜😁,197,1305,27758,False,"Ever since the lockdown started, I've saved 3 trillion dollars by not buying popcorn at the movies."
2020-04-29 11:00:12+00:00,"@GauravPandhi #NewIndia #NewOdisha #HELP

1⃣Ravana died because of Sriram's exile.

2⃣Kansa died because of Sri Krishna's imprisonment.

3⃣Corona will die by #StayHome

4⃣Covid doesn't see rich,poor &amp; Religion.

5⃣ #CovidMedicine is #together with #Solidarity &amp; Kind.
👇
https://t.co/w7NxX7RNU1",NewIndiaOff,India,"🇮🇳Sevak:To inspire & ignite the people to take action by educate, empower, encourage, embrace & connect with them to achieve 🗺️ #SDGs #HDGs #NewIndia |RTs#|.",878,4896,59842,False,No Value Mentioned
2020-04-29 11:00:12+00:00,RT @sardesairajdeep: 3 policemen have died in Mumbai in last 4 days of corona. Want to salute the frontline cops. Those in Delhi have been…,mindflayer_309,India,No Value Mentioned,45,169,6591,False,3 policemen have died in Mumbai in last 4 days of corona. Want to salute the frontline cops. Those in Delhi have been firm but polite while checking; Mumbai cops am sure are no different. So a big shout out to men in khakhi across India @DelhiPolice @MumbaiPolice ! Thank you! 🙏
2020-04-29 11:00:13+00:00,"@rshuklabjp Dear Sir, 4 UPSC aspirants from Rewa are currently stranded in Delhi. Kindly, arrange their return from the capital city. They have been trying for ways to get out but failed every time due to no permission from authorities #coronavirus",SatyamevJayte6,"Allahabad, India",This is an apolitical group and has been formed with a motive to support people. We aim to raise the voices of common citizens of India through social media.,2,127,120,False,No Value Mentioned
