created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-02 14:04:46+00:00,RT @DrJoyeeta: Just FYI : SARS-CoV-2 is the virus. COVID-19 is the disease that it causes.,Farzi_degree,India,Indian|Quick learner|Scrupulous lawyer|Political watcher|Secular humanist|Deep thinker|Feminist|The ultimate 1|Cooking enthusiasts|UPSC aspirant|Vegetarian|,155,615,6626,False,Just FYI : SARS-CoV-2 is the virus. COVID-19 is the disease that it causes.
2020-05-02 14:04:46+00:00,RT @YusufDFI: US officials explore proposals for punishing or demanding financial compensation from China. Trump has discussed stripping Ch…,zapatta091,India that is भारत 🇮🇳,"MA, MBA (Mktg.), ex-National Herald Executive,
If I call a spade, a spade, then it must be a spade! And finally, a proud Indian Hindu! RTs aren't endorsement.",528,1300,64638,False,US officials explore proposals for punishing or demanding financial compensation from China. Trump has discussed stripping China of its sovereign immunity &amp; also suggested raising $1 trillion by imposing tariffs on Chinese imports https://t.co/Jw2l4CEqEK
2020-05-02 14:04:46+00:00,"No fees should be taken for lockdown period
#WaiveSchoolFees
#WaiveSchoolFee",VermMrigendra,"Lucknow, India",No Value Mentioned,15,3,15,False,No Value Mentioned
2020-05-02 14:04:46+00:00,RT @Dineshdcop: 15 more won their battle against corona virus and now total 21 victories in Zilla saharanpur... 💪,aashumiya4,saharanpur india ,"I m Indian
ए वक़्त मेरी हिम्मत को परखने की गुस्ताखी मत करना 
पहले भी बहुत तूफानों का रुख मोड़ चूका हूँ मैं",339,625,3601,False,15 more won their battle against corona virus and now total 21 victories in Zilla saharanpur... 💪
2020-05-02 14:04:46+00:00,Welcome https://t.co/gVok5eOaBp,harivalkivedu,"Hyderabad, India",Human rights activist,7,311,261,False,No Value Mentioned
2020-05-02 14:04:46+00:00,"RT @OpIndia_com: Delhi: AAP MLA from Hari Nagar refuses ration to poor labourers amidst lockdown, defeated BJP candidate Tajinder Bagga com…",vasista2k,"Bengaluru, India","ಕನ್ನಡಿಗ, An Infocian, 

Buy Authentic Geographical Indication (GI) TAGged product at our website",177,291,2013,False,"Delhi: AAP MLA from Hari Nagar refuses ration to poor labourers amidst lockdown, defeated BJP candidate Tajinder Bagga comes to their rescue

https://t.co/IhMZu0tbj5"
2020-05-02 14:04:47+00:00,"RT @HydYouth: #Hyderabadi #Covid19 #songs follow this as well 
https://t.co/gmbhyJeIhC",Arhaan_28,"Hyderabad, India","#Follow4Follow
Be a Human bieng, AIMIM  Our work is Our Identity",25,143,296,False,"#Hyderabadi #Covid19 #songs follow this as well 
https://t.co/gmbhyJeIhC"
2020-05-02 14:04:48+00:00,"RT @NHM_TN: #UPDATE: 231 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 2,757 @CMOTamilNadu @Vijayabaskarofl…",Bala_ji05,"Chennai, India","I don’t have a bad handwriting, I have my own font🤟🏻. 
 #Thala❤️, #SaiBaba🙏🏻❤️",116,936,11483,False,"#UPDATE: 231 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 2,757 @CMOTamilNadu @Vijayabaskarofl @MoHFW_INDIA

For more information visit: https://t.co/VEPcJWB7UA.inp"
2020-05-02 14:04:49+00:00,"Lockdown timepass
In Instagram: Reading, painting, cooking etc..
In reality: Emptying water bottles and filling water bottles...",kirtan___,"Nadiad, India",🚭,30,56,370,False,No Value Mentioned
2020-05-02 14:04:49+00:00,"RT @DaaruBaazMehta: JUST IN

Delhi CM @ArvindKejriwal on #Lockdown

Lockdown is implemented to slow the intensity of the Corona Virus. I th…",AapKaTanu,"Patna, India","एक  लम्हे  को  तुम  मिले  थे  मगर.......
उम्र  भर  दिल  को  हम  मसलते  रहे.....❤️
#AAP_Supporter
#Kejriwal_Supporter",3092,2667,107729,False,"JUST IN

Delhi CM @ArvindKejriwal on #Lockdown

Lockdown is implemented to slow the intensity of the Corona Virus. I thank PM Modi for enforcing a nationwide Lockdown across the country.

We used this lockdown period to ramp up our Medical facilities are are prepared now."
2020-05-02 14:04:49+00:00,RT @DailyMailUK: Tips are heaving from 8am as Brits rush to dump their rubbish for the first time since lockdown began https://t.co/8vGrNMg…,MdSaifu01125403,"Bihar, India",Allah ak hai,541,1095,5646,False,Tips are heaving from 8am as Brits rush to dump their rubbish for the first time since lockdown began https://t.co/8vGrNMgYpe
