created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-27 14:12:16+00:00,"Sir (@SHIVNAKATE )
You have not yet given a reply. But I wanna show you the kind of physical / social distancing government officials are maintaining in Sri Vijaynagar Dhanmandi. Please access the footage of KUMS Vijaynagar 27-04-2020 gate no. 2 time: 7:30-7:35pm",tusharc05102436,"Rajasthan, India",No Value Mentioned,2,18,4,False,No Value Mentioned
2020-04-27 14:12:16+00:00,"RT @RangitaNandy: ⁦Support @RanaAyyub⁩‘s fundraiser on ⁦@ketto⁩ as she reports from #Mumbai slums on families devastated by the lockdown, l…",river_january,India,Celebrity Account disguised as parody ! 😁,63,160,10519,False,"⁦Support @RanaAyyub⁩‘s fundraiser on ⁦@ketto⁩ as she reports from #Mumbai slums on families devastated by the lockdown, left with no jobs, no food.

Your donation can help them move closer to their goal amount. Help, contribute, share please. https://t.co/AGH0FAgWdY"
2020-04-27 14:12:17+00:00,RT @mnsingh91666644: Film actor Akshay Kumar donates Rs.2.0 crores to Mumbai police welfare fund to help the families of policemen enforcin…,sadiqansari5563,"Nagpur, India",A T C & SON'S TRAVEL🏠🚘✈🚢🗼🌉 AND TRANSPORT. 🚚🚚🚚🚚,258,849,16404,False,Film actor Akshay Kumar donates Rs.2.0 crores to Mumbai police welfare fund to help the families of policemen enforcing the lockdown. He hd earlier contributed 25/-cr to PM Care Fund. Great gesture from a lion hearted philanthropist.👏👏
2020-04-27 14:12:18+00:00,"There is no lockdown on democracy. Let democracy be re-established and targeting of Muslim student activists be questioned. Repeal UAPA and all other false charges against Meeran Haider, Safoora Zargar and Shifa- ur- rehman
#stoptargetingJMI",AligHaseeb,"Aligarh, India","Secular, Alig, Introvert, Feminist, Anti RSS, BJP's ideology..",15,133,145,False,No Value Mentioned
2020-04-27 14:12:18+00:00,RT @BigMeag8: Y’all talking about everybody needs to stay home..... forgetting that for some people they’re depressed at home. This new nor…,NewMan_NewLife,"Indianapolis, IN",#BelieverOfJesus | #iPlay 🎶🥁🎹 | #ProudFather | One day I will be great | Married to @BigMeag8 #81818 | (FB) Mike A. Orr (SC) mike_orr92 (IG) @_iammikeorr,776,781,19816,False,Y’all talking about everybody needs to stay home..... forgetting that for some people they’re depressed at home. This new normal might be aggravating the life out of somebody. Ijs
2020-04-27 14:12:20+00:00,RT @dharmasamskara: Karnataka can fight the Virus but not the hypocrisy of leaders like @HDK who threaten to protest on streets even during…,satisnc1947,"Chennai, India",ರಾಷ್ಟ್ರದೇವೋ ಭವಃ,167,69,3739,False,"Karnataka can fight the Virus but not the hypocrisy of leaders like @HDK who threaten to protest on streets even during the Lockdown just because people were moved to a jail in their district
#KeralaSealed"
2020-04-27 14:12:21+00:00,RT @DrEricDing: 🧪Good news on TESTING - daily tests completed has finally been increasing from 150k/day to now 250k/day or more in the US.…,stevecripe57,"Indiana, USA","Ret. ED/Trauma/Neuro ICU RN; Paramedic/FF; Alumnus of
@shocktrauma et al; Love The Lord & My Wife 💗.
Patient Advocate, Caregiver, Better Healthcare Systems",3129,4990,82559,False,🧪Good news on TESTING - daily tests completed has finally been increasing from 150k/day to now 250k/day or more in the US. Hope this trend continues. #COVID19. @ashishkjha is a great follow on all things COVID. https://t.co/pvvCmCIltQ
2020-04-27 14:12:23+00:00,"RT @IamOnir: Our Supreme Court does not seem to think this as priority, nor the police interested  In arresting the murderers , they are bu…",BaagRafiuddin,"Gulbarga, India","Businessman,Social activist and Politician above all iam a proud Indian muslim",814,1662,18466,False,"Our Supreme Court does not seem to think this as priority, nor the police interested  In arresting the murderers , they are busy arresting students !!! https://t.co/0SFpBHA3bD"
2020-04-27 14:12:23+00:00,"@DHFWKA @CMofKarnataka @BSYBJP @DVSadanandGowda @SureshAngadi_ @sriramulubjp @drashwathcn @BSBommai @mla_sudhakar @Tejasvi_Surya @BBMP_MAYOR @BBMPCOMM @CCBBangalore @BlrCityPolice @KarnatakaVarthe @PIBBengaluru @KarFireDept As pregnant women are more susceptible to COVID 19 &amp; it is a threat to new born babies, Can pregnant women be considered as exceptional/work from home, to attend essential service during Lockdown.",gayathri_rakesh,India,No Value Mentioned,10,140,10,False,No Value Mentioned
2020-04-27 14:12:23+00:00,"RT @satkabir_: #Aim_Of_TrueWorship
Is to get benefits if someone is suffering from diseases like cancer, AIDS, covid19 etc. The true worshi…",KusumPatidar9,"Dungarpur, India",🙏daughter of God,166,208,2273,False,"#Aim_Of_TrueWorship
Is to get benefits if someone is suffering from diseases like cancer, AIDS, covid19 etc. The true worship heals diseases like an invisible medicine
https://t.co/TkBPWKeDhX"
