created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-22 10:09:36+00:00,"RT @InquisitiveCase: Every day corona related news is freaking everyone and I was expecting the same while logging in twitter 

But what I…",shambha64648950,"Mumbai, India",No Value Mentioned,0,12,865,False,"Every day corona related news is freaking everyone and I was expecting the same while logging in twitter 

But what I see

#SidRaKeMagicalChaiPasta
#twitterAntakshari

Indians ka kuch nahi hosakta - we are certified Pagal, lage raho 🤭😂"
2020-03-22 10:09:36+00:00,"RT @haryannvi: Reminds me of F.R.I.E.N.D.S. Episode where they are all in hospital and Ross, a PhD, introduces himself as Doctor Ross Gelle…",Pseudopodia_,"Mumbai, India","Sachinist, Medical Humor, Traveller, Non abusing Bhakt",234,363,57989,False,"Reminds me of F.R.I.E.N.D.S. Episode where they are all in hospital and Ross, a PhD, introduces himself as Doctor Ross Geller and Rachel says ”Ross, this is a hospital ok, that actually means something here” 😄 https://t.co/plEXIxTA1M"
2020-03-22 10:09:36+00:00,"RT @AskAnshul: Coronavirus: Social distancing in India.

1. BJP leader Shivraj Chouhan celebrated with crowd in MP

2. Mass gathering in ‘A…",saga15596,"Una, India",No Value Mentioned,21,71,224,False,"Coronavirus: Social distancing in India.

1. BJP leader Shivraj Chouhan celebrated with crowd in MP

2. Mass gathering in ‘Arattu’ procession held at Malayinkeezhu Sree Krishna Swami Temple in Kerala

3. Mass gatherings across India for Friday namaz

No one is taking it seriously"
2020-03-22 10:09:37+00:00,"RT @IasAlok: 4 major decisions by the Government to fight #Covid19India outbreak:
1. Allowing Private Labs to Test for #COVIDー19
2. Easing…",tweetcasm_,"Jodhpur, India","IIT R '23|
 nationalist|
known as भक्त|
upcoming Civil Engineer|
RT≠endorsement| memes| politics| governance| definitely not engineering|",148,1510,1561,False,"4 major decisions by the Government to fight #Covid19India outbreak:
1. Allowing Private Labs to Test for #COVIDー19
2. Easing protocols for research by BSL 3+ Labs 
3. Incentives to Pharma industry to manufacture API
4. Involve pvt sector in preparing for treating COVID patients https://t.co/Z87pOrN5b0"
2020-03-22 10:09:39+00:00,"RT @elliottdunstan: tw suicide, COVID-19

Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happenin…",sudpidity,"Pune, India","uh, we might die for this shit",158,278,8160,False,"tw suicide, COVID-19

Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.

There's a mental health epidemic happening, and we're gonna start seeing-"
2020-03-22 10:09:40+00:00,"RT @DeepakSatyal: Final warning for Janta Curfew, Stay home stay safe
@narendramodi 
#JanataCurfew 
#StayHomeStaySafe https://t.co/g69SfdEz…",jagatguru_,India,No Value Mentioned,9,170,618,False,"Final warning for Janta Curfew, Stay home stay safe
@narendramodi 
#JanataCurfew 
#StayHomeStaySafe https://t.co/g69SfdEziI"
2020-03-22 10:09:40+00:00,"@Siddhes54664305 @RBI @DasShaktikanta @PMOIndia @RBI @nsitharaman Will u instruct @DasShaktikanta to give package for #pmc victims, from last 6month 26+deaths, no liquidity with depositers to fight @WHO instructions on covid19.immediate solution will save milians of depositers.@PMOIndia should give answer and solution urgently",bhatsunils,"Bengaluru, India",No Value Mentioned,220,221,61364,False,No Value Mentioned
2020-03-22 10:09:41+00:00,RT @rajnathsingh: The world is passing through challenging times due to COVID-19. PM Shri @narendramodi has given a call for ‘Janata Curfew…,ArunKumar8786,"New Delhi, India",My Attitude is My Identity.,176,113,32550,False,"The world is passing through challenging times due to COVID-19. PM Shri @narendramodi has given a call for ‘Janata Curfew’ from 7 am to 9 pm tomorrow. 

I appeal to everyone to make this novel self isolation and mass awareness initiative a grand success. #IndiaFightsCorona"
2020-03-22 10:09:42+00:00,RT @Ishamonisha25: Time to turn inward..Meditation has given me deep sense of fulfilment and ability to live life joyfully. #StayInTurnInWa…,Vinij596,"Indore, India","Architecture student
Dancing
Poetry",188,266,5718,False,Time to turn inward..Meditation has given me deep sense of fulfilment and ability to live life joyfully. #StayInTurnInWard #JantaCurfew  #SocialDistancing #IshaYoga https://t.co/yFRJQMGDxg
2020-03-22 10:09:44+00:00,"RT @ImTiger_14: Via WhatsApp
One must hear this full 

#StaySafeStayHome #JantaCurfew 

PS: whoever this person is brilliant video. Thank y…",Lil_Boies2,"Patna, India",". 
शुद्ध संस्कारी लड़का  🤗
Memer/RW/ शायर 
Income - 1 Lac (आशीर्वाद) 

Insta:- Lil.boies ( Pls Follow @Lil_Boies1)
Yes DM",1970,478,72252,False,"Via WhatsApp
One must hear this full 

#StaySafeStayHome #JantaCurfew 

PS: whoever this person is brilliant video. Thank you https://t.co/4saMo8xMRB"
2020-03-22 10:09:45+00:00,@ikavyaverma Corona will help you in sleeping. Contact corona,Raj_putraa,"Madhya Pradesh, India","Law Student 🎓

I'm all up for Equality, but no psuedofeminism",304,270,1200,False,No Value Mentioned
2020-03-22 10:09:45+00:00,"RT @ani_digital: COVID-19: Two arrested by Delhi Police for operating gym despite closure directive

Read @ANI story | https://t.co/iv1D4xd…",BappiDa53680342,"Guwahati, India",Creative/Flexible/responsible,602,30,30542,False,"COVID-19: Two arrested by Delhi Police for operating gym despite closure directive

Read @ANI story | https://t.co/iv1D4xdIsy https://t.co/Q00FJEWclE"
2020-03-22 10:09:45+00:00,"Kolkata lockdown from tomorrow.
#staysafe #Kolkata",iChandanMitra,"Kolkata, India",Photographer | Visual Storyteller,12,37,94,False,No Value Mentioned
2020-03-22 10:09:47+00:00,RT @HaramiParindey: WHO scientists reading the WhatsApp theory of Indians that Coronavirus life is 12 hours and clapping can kill the virus…,rajkhodanpur,"Hubli, India","Akshay Kumar is my Inspiration.! ❤️

old account @rkhodanpur is suspended",304,86,12227,False,WHO scientists reading the WhatsApp theory of Indians that Coronavirus life is 12 hours and clapping can kill the virus. https://t.co/zgNt6MvVgk
2020-03-22 10:09:48+00:00,"RT @wef: Young people are much more likely to be spreading #COVID19 #coronavirus.

🔎 Learn more about coronavirus: https://t.co/Q9kYjFMuJo…",MadhavaSaiNR,"Chennai, India",Software Developer @Cognizant | News & Tech Enthusiast | Optimist,153,2852,1646,False,"Young people are much more likely to be spreading #COVID19 #coronavirus.

🔎 Learn more about coronavirus: https://t.co/Q9kYjFMuJo https://t.co/MUYIokU1lT"
2020-03-22 10:09:48+00:00,"RT @MinhazMerchant: If #COVID19 had spread from an Indian city, @BBC @guardian @nytimes @washingtonpost &amp; other biased Western media would…",joshmachine1973,India,"Go Corona... Go Corona...RT is not endorsement. Travelling Salesman now sitting at home... Tech, History, Politics, Whiskey and Cold Beer",707,1823,161069,False,"If #COVID19 had spread from an Indian city, @BBC @guardian @nytimes @washingtonpost &amp; other biased Western media would have lacerated India. With China — though a brutal dictatorship that imprisons 1 million Muslims &amp; bans most Western media — the same Western media genuflects."
2020-03-22 10:09:49+00:00,"RT @narendramodi: Passionate as always, Arnab!

Kudos to the @republic Team for their support towards a healthier India. #JantaCurfew",MdsuMohit,"Ajmer, India","#BJP Media Incharge #Ajmer Rural & 
Former President of Student Union
M.D.S. University, #Ajmer #अजमेर",1870,1225,73086,False,"Passionate as always, Arnab!

Kudos to the @republic Team for their support towards a healthier India. #JantaCurfew https://t.co/EzBILnwh6p"
2020-03-22 10:09:49+00:00,RT @SuPriyoBabul: Do you show the middle finger to your Dad &amp; Mum when u dont agree with them? Did your Dad practice showing his middle fin…,ankivbaisoya_,"New Delhi, India","Former President , DUSU | ABVP❤️se | मेरा भारत महान । जीत के खातिर बस जूनून चाहिए |",1356,186,965,False,"Do you show the middle finger to your Dad &amp; Mum when u dont agree with them? Did your Dad practice showing his middle finger to his dad when he disagreed with him? Do your grandfather... .. 
U put your family’s pedigree into disrepute when u use language like this ‘Kamra’👎🏿Reform https://t.co/lm6AzyANhe"
2020-03-22 10:09:50+00:00,"#CMBREAKING
Maharashtra has entered into a very sensitive &amp; important phase of #Coronavirus Pandemic so I urge people to take all precautions in the fight against this virus : Cheif Minister Uddhav Thackeray https://t.co/IhGwEjz5Zl",deshdoottimes,"Nashik, India","A daily newspaper from Nashik, India. Download our app to stay tuned for the latest updates, news and views.",1539,65,8782,False,No Value Mentioned
2020-03-22 10:09:51+00:00,RT @republic: Today will witness the nation coming together to defeat the Coronavirus. We at the Republic Media Network are proud to join h…,VardhanShanbhag,"Panaji, India",No Value Mentioned,74,628,4303,False,Today will witness the nation coming together to defeat the Coronavirus. We at the Republic Media Network are proud to join hands with our honourable @PMOIndia’s #JantaCurfew initiative! https://t.co/aYdl6kZfJl
2020-03-22 10:09:52+00:00,"12 students (2 are Foreign nationals) are forced to vacate the Ramjas Hostel before Mar,23. In Covid-19 high peak,it is difficult to return their homes. Please consider their request to stay at hostel.
#protectRamjasBoys
#coronavirusindia 
@DelhiPolice @ArvindKejriwal @msisodia https://t.co/pdf0ATj0WI",PranayLpk,India,"Political Science, Ramjas, Delhi University.",231,392,989,False,No Value Mentioned
2020-03-22 10:09:52+00:00,"RT @tsrawatbjp: In order to win this war against Corona, state has decided to enforce lockdown until 31st March. During this period, all tr…",MukeshRawatBjp,"Uttaranchal, India","Director- Dist. Co-Operative Bank,
Co-Convenor at BJP Dehradun, Uttarakhand
Founder Nischay Group",174,127,66,False,"In order to win this war against Corona, state has decided to enforce lockdown until 31st March. During this period, all transport- local and interstate- will remain suspended. All the essential services are being kept out of the ambit of this lockdown. #IndiaFightsCorona"
2020-03-22 10:09:52+00:00,RT @otvnews: Twin City Police registers criminal case against an individual for violating home quarantine norms in Puri Ghat PS area in Cut…,ganeshkumar1789,"New Delhi, India",No Value Mentioned,527,261,24522,False,Twin City Police registers criminal case against an individual for violating home quarantine norms in Puri Ghat PS area in Cuttack. CP tweets-Those asked to stay in home quarantine must strictly remain in isolation or be prepared for serious consequences #COVIDー19 #JantaCurfew https://t.co/GAvZXGQH47
2020-03-22 10:09:52+00:00,"RT @sandipanthedeb: The biggest Covid-19 threat to India is the well-off ""entitled"" Indian, who pops a Crocin on the flight to lower body t…",anand_abhinav_,"Ludhiana, India",No Value Mentioned,26,141,1585,False,"The biggest Covid-19 threat to India is the well-off ""entitled"" Indian, who pops a Crocin on the flight to lower body temperature, whines about long airport queues, lies about travel history, disobeys quarantine orders, cribs that the isolation facility is less than 5-star. 1/2"
2020-03-22 10:09:55+00:00,RT @Vijayabaskarofl: #Update:Thai national who died at #CMCH last week was Corona negative .The Pt had history of chronic diabetes with foo…,KRB077,India,●𝙋𝙚𝙤𝙥𝙡𝙚 𝙊𝙣𝙡𝙮 𝙁^𝙘𝙠 𝙒𝙞𝙩𝙝 𝙔𝙤𝙪 𝙒𝙝𝙚𝙣 𝙄𝙩 𝘽𝙚𝙣𝙚𝙛𝙞𝙩𝙨 𝙏𝙝𝙚𝙢●,1124,437,15745,False,#Update:Thai national who died at #CMCH last week was Corona negative .The Pt had history of chronic diabetes with foot ulcer &amp; cellulitis.Despite all efforts the Pt died of sepsis leading to renal failure.The 2  Thai pts undergoing treatment is not connected to the deceased man
2020-03-22 10:09:55+00:00,"RT @SrBachchan: T 3478 - Marine Drive, Mumbai this morning .. this is what National discipline means .. JAI HIND 🇮🇳 !!

#JanataCurfew #Indi…",RajpalSk47,"Madhya Pradesh, India","india||भारतीय जनता पार्टी युवा मोर्चा मध्यप्रदेश/ 🌺sanaatan dharm🙏
||🚩Mahkal Bhakt || 🙏Ram Bhakt || Nmo Nmo Modi Lover ||😎Ms Dhoni One Man Army ||@Mr_Sk47",41,556,3408,False,"T 3478 - Marine Drive, Mumbai this morning .. this is what National discipline means .. JAI HIND 🇮🇳 !!

#JanataCurfew #IndiaFightsCorona #Covid19 https://t.co/jbYPpDgOLS"
